t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
454.0,0.2021,0.20151564500646882,0.20139679874832037,0.2051,-0.37032012516796387,0.2034,0.2036277670900193,0.2,0.355752549829005,0.030098178359210886,-0.010399748005426243,0.13967987483203548
456.0,0.2088,0.20320094823512208,0.2006733267642233,0.2121,-1.1426673235776703,0.2066,0.20343308348270667,0.2,0.41804282588125047,0.03278361376272586,-0.011746401533872838,0.06733267642232976
458.0,0.2021,0.2034242409083122,0.19974213243691727,0.2019,-0.2157867563082727,0.2134,0.2045149647751672,0.2,0.7343766095269584,0.05140406658949365,-0.011230666407707354,-0.025786756308274206
460.0,0.1919,0.2020202213346225,0.19712198527374913,0.1951,0.20219852737491384,0.2066,0.20340665257059892,0.2,0.8616376772014933,0.05321384502653882,-0.0054746369552056,-0.2878014726250877
462.0,0.2021,0.207241538454586,0.19585205611402723,0.2085,-1.2647943885972763,0.1968,0.200668398140699,0.2,0.5968554138378835,0.0334910742023676,0.0028212508167399647,-0.41479438859727824
464.0,0.2123,0.21465043738666023,0.19761772001915642,0.2087,-1.1082279980843572,0.21,0.20186055395539476,0.2,0.3205951372305773,0.020904549716225546,0.007585810778427141,-0.2382279980843588
466.0,0.2155,0.216572896309565,0.20000979315867073,0.2087,-0.8690206841329262,0.21,0.2026190160885105,0.2,0.012984645310249779,0.0072371666447007005,0.007566224461085694,0.000979315867072339
468.0,0.219,0.21497751696257175,0.20294603568439062,0.2189,-1.5953964315609386,0.2168,0.2048460872767177,0.2,0.07076181082522794,0.017336427819751338,0.0016741530923044673,0.2946035684390613
470.0,0.2088,0.20775653890453552,0.20315044153430753,0.2121,-0.8949558465692481,0.21,0.20472922213062314,0.2,0.24931359117441454,0.0280566083406086,-0.00462672997631057,0.31504415343075187
472.0,0.2021,0.2026425422350106,0.2019811697191073,0.2051,-0.3118830280892715,0.2134,0.20547877137413573,0.2,0.3045152032686241,0.028081472537646743,-0.008589069414525127,0.19811697191072786
474.0,0.2088,0.20301723386960577,0.2012154955192996,0.2119,-1.0684504480700407,0.2066,0.2047311140105933,0.2,0.45884862967737083,0.03642321340406748,-0.0110200604531243,0.12154955192995864
476.0,0.1987,0.201913372287321,0.19964379085216394,0.2019,-0.2256209147836058,0.2134,0.20537833552560197,0.2,0.5019452180554583,0.03603872489802034,-0.010307642157452154,-0.035620914783607294
478.0,0.2054,0.2044621272242768,0.1989195643065004,0.2087,-0.9780435693499595,0.2068,0.20450754694256112,0.2,0.7438091893933214,0.0502081536366209,-0.008146770770452935,-0.10804356934996096
480.0,0.1987,0.20510823958263166,0.19691347770830242,0.2019,-0.4986522291697576,0.1968,0.20126407147603773,0.2,0.7620900256615125,0.046595916665289734,-0.0019737261870577533,-0.3086522291697591
482.0,0.2054,0.21017603581427147,0.19660101568729385,0.1985,-0.1898984312706159,0.2,0.19987870209658073,0.2,0.7160273207118648,0.0429029077793536,0.004824242438354567,-0.33989843127061603
484.0,0.2054,0.21374086789589053,0.19696829474363844,0.2019,-0.49317052563615515,0.2034,0.1995262178269975,0.2,0.3872995988666737,0.022982790930327283,0.0108876529510777,-0.30317052563615665
486.0,0.219,0.21836283246892343,0.1996775006275982,0.2153,-1.5622499372401788,0.2066,0.2003267295949936,0.2,0.2164152343595147,0.01857293544908757,0.011532651695881316,-0.03224993724018077
488.0,0.2088,0.2149564831378888,0.20154177272444534,0.2121,-1.0558227275554666,0.2201,0.20361097279489926,0.2,0.12193077544408513,0.016480167771301197,0.008449106246990648,0.1541772724445334
490.0,0.2123,0.2111791474568892,0.20279366708765062,0.2153,-1.2506332912349372,0.2134,0.20474539392465663,0.2,0.17212011742355923,0.021808765932598933,0.0028617720716894307,0.27936670876506087
492.0,0.2054,0.2061717394307636,0.2026733547052557,0.2085,-0.5826645294744304,0.2167,0.20625196660320028,0.2,0.4150794980950724,0.036370155766442,-0.0024849373388219215,0.2673354705255676
494.0,0.1987,0.20214365752490634,0.20077281776746722,0.2017,-0.09271822325327694,0.21,0.20574057267715679,0.2,0.5202649659211382,0.038281372571056925,-0.004030572873756341,0.07728177674672099
496.0,0.2054,0.20403706857837237,0.1995494771026501,0.2051,-0.5550522897349891,0.2034,0.20410476666714386,0.2,0.6297803804709883,0.04277997271897455,-0.003129527079056546,-0.04505228973498976
498.0,0.2054,0.20655204166082664,0.19831102565183906,0.2087,-1.038897434816094,0.1968,0.20126948009178386,0.2,0.5708716800991303,0.03673303679551061,0.0002484216172653625,-0.16889743481609543
500.0,0.2088,0.2104250682312493,0.19848696417563122,0.2019,-0.34130358243687764,0.2034,0.20077730093136467,0.2,0.4154425899659738,0.027850628576371744,0.003274493266002945,-0.15130358243687914
502.0,0.2123,0.21291448230955942,0.1996402365432691,0.2051,-0.545976345673091,0.2066,0.20114179064959037,0.2,0.24256342799684813,0.020003518348823576,0.003994020179464777,-0.0359763456730916
504.0,0.2123,0.21253487807439989,0.20117340078018045,0.2153,-1.412659921981954,0.2134,0.20291602455342905,0.2,0.32961573992585147,0.02910516654407013,0.001647218619103899,0.11734007801804391
506.0,0.2054,0.2084800639084959,0.20087146968440833,0.2085,-0.7628530315591658,0.2066,0.20250027535190987,0.2,0.5183329641099574,0.0396339510264405,-9.57207497127438e-05,0.08714696844083214
508.0,0.1987,0.20567379496468596,0.19956540553628066,0.2019,-0.2334594463719336,0.21,0.20294305674995206,0.2,0.5148072475586735,0.035672147760165765,0.0007734681777259583,-0.043459446371935107
510.0,0.2087,0.20836300695159948,0.19936792279556317,0.2017,-0.23320772044368165,0.2034,0.20207902444304335,0.2,0.42343048216278356,0.029636342813489105,0.002037622586599633,-0.06320772044368372
512.0,0.2088,0.21015098175595925,0.19987971725585393,0.2121,-1.2220282744146078,0.21,0.2028596217267404,0.2,0.4551158259127984,0.03336992859465284,0.0022781880748917877,-0.012028274414607742
514.0,0.2054,0.20930637365338536,0.1997010793910924,0.2085,-0.8798920608907579,0.2066,0.2024996833152638,0.2,0.4918213141410243,0.03522405713421969,0.002876029292706986,-0.02989206089075991
516.0,0.2054,0.20918417593478233,0.1994966888490136,0.2087,-0.920331115098641,0.2066,0.20229368199750405,0.2,0.22139960233560613,0.01740321395123799,0.003882651594679834,-0.05033111509864241
518.0,0.2156,0.211854396288694,0.2014793341028721,0.2053,-0.38206658971279006,0.2168,0.20475570127421236,0.2,0.24175688168803905,0.023828058983658345,0.0009239833889356369,0.14793341028720985
520.0,0.2054,0.20779727370577494,0.2015247994629745,0.2051,-0.3575200537025508,0.2134,0.20538561281544818,0.2,0.35284847554408516,0.03091155334274433,-0.002125615537013334,0.15247994629744854
522.0,0.2054,0.20541108954961257,0.20080853268697535,0.2121,-1.1291467313024661,0.2068,0.20447896494407394,0.2,0.43624953290121316,0.03402363157462354,-0.003742680910964011,0.08085326869753384
524.0,0.2021,0.2047315880870072,0.20002542729824357,0.2019,-0.18745727017564218,0.2134,0.20529879387509822,0.2,0.48264423440310905,0.03516276150822171,-0.0037935355074511373,0.0025427298243563268
526.0,0.2054,0.2059607523759781,0.19942843514532965,0.2087,-0.9271564854670344,0.2068,0.20444328321916214,0.2,0.7048701212606505,0.04814224954076649,-0.0026504057981104195,-0.05715648546703589
528.0,0.1987,0.2058442797119144,0.19763053535434807,0.2019,-0.42694646456519214,0.2,0.20200973690921792,0.15,4.069057158669337e-06,1.1065276735894459e-05,0.0,4.763053535434808
530.0,0.2053,0.2101342854318924,0.19742440107332504,0.1985,-0.10755989266749699,0.2034,0.20125414401381392,0.15,1.3018427185293479e-06,3.7820894459389812e-06,0.0,4.742440107332505
532.0,0.1952,0.20098222428866208,0.1966746968313251,0.1951,0.15746968313251064,0.2066,0.20070269561932066,0.15,2.5012755889025107e-07,6.746257923627221e-07,0.0,4.667469683132511
534.0,0.1987,0.19578164880525045,0.19555964297836806,0.2019,-0.6340357021631937,0.2,0.1990075414164123,0.15,2.526922141946427e-07,6.39999155513511e-07,0.0,4.555964297836806
536.0,0.1919,0.19100821624538983,0.19361449399776018,0.1951,-0.1485506002239817,0.2034,0.19839645292642186,0.15,4.7025823591332124e-08,1.2205145249717878e-07,0.0,4.361449399776019
538.0,0.1987,0.18909925312583553,0.1924298483416346,0.1849,0.7529848341634587,0.1968,0.19659432909173682,0.15,2.6245346359987327e-08,7.079197259127796e-08,0.0,4.24298483416346
540.0,0.1919,0.18629137056784517,0.18974858133156963,0.1917,-0.1951418668430377,0.1866,0.19268301896834217,0.15,2.2348835127583478e-08,6.12075688843198e-08,0.0,3.974858133156964
542.0,0.1851,0.18262950206656797,0.18523538641044357,0.1849,0.03353864104435611,0.1667,0.18487979665867935,0.15,9.374130184677982e-09,3.0870414842541076e-08,0.0,3.5235386410443574
544.0,0.1919,0.1814079740122506,0.18294103661183747,0.1917,-0.8758963388162538,0.1699,0.18013573764604524,0.15,2.0529984636168324e-08,5.318451219101426e-08,0.0,3.2941036611837475
546.0,0.1851,0.17895733984687145,0.17951365340194628,0.1815,-0.19863465980537176,0.1599,0.1740947912291465,0.15,1.8603294972996288e-08,4.884416511250052e-08,0.0,2.951365340194628
548.0,0.1783,0.17594151644962772,0.17706676458525714,0.1747,0.23667645852571417,0.1767,0.17338288716319858,0.15,2.5965607244866005e-08,6.503645015323528e-08,0.0,2.706676458525714
550.0,0.1817,0.17435194906870718,0.1751533069232461,0.1815,-0.6346693076753895,0.1701,0.1713719513784383,0.15,2.6594124519471357e-08,6.641680959501223e-08,0.0,2.5153306923246106
552.0,0.1885,0.1745947797617769,0.17485942992126147,0.1747,0.01594299212614725,0.1735,0.17080633073387863,0.15,1.1111776289602178e-08,3.452298332813493e-08,0.0,2.485942992126147
554.0,0.1783,0.17273566335935514,0.17365304897759065,0.1781,-0.44469510224093567,0.1801,0.17157616390612845,0.15,4.8764401111624084e-08,1.1684871734618154e-07,0.0,2.365304897759066
556.0,0.175,0.17060782444197298,0.17173213520301273,0.1713,0.04321352030127179,0.1733,0.17046290851121743,0.15,2.1533760133245875e-08,5.8519767263619456e-08,0.0,2.1732135203012732
558.0,0.1783,0.16979642773208845,0.1711187496514997,0.1781,-0.6981250348500306,0.1799,0.17118179630722719,0.15,3.50548064550707e-08,9.064335618057655e-08,0.0,2.111874965149971
560.0,0.1716,0.16772102287435256,0.16924375976510736,0.1679,0.13437597651073663,0.1735,0.17003997580970434,0.15,1.3730892409236422e-07,3.3152724644178885e-07,0.0,1.9243759765107367
562.0,0.1648,0.164797634228052,0.16699197762214105,0.1611,0.5891977622141054,0.1767,0.16969791966535433,0.15,2.1102188513872796e-07,5.187979393501019e-07,0.0,1.6991977622141052
564.0,0.1682,0.16327136728044897,0.16524157099859788,0.1679,-0.26584290014021184,0.1701,0.1679947622636993,0.15,2.608620063261206e-07,6.484819540004075e-07,0.0,1.5241570998597882
